Repeat,Fungi,Pathogen,Crude Extract,MIC/MBC,Data,,
U1,N. chichastianum,Pseudomonas syringae,Extracellular,MIC,7.8,,
U2,N. chichastianum,Pseudomonas syringae,Extracellular,MIC,7.8,,
U3,N. chichastianum,Pseudomonas syringae,Extracellular,MIC,7.8,,
U4,N. chichastianum,Pseudomonas syringae,Intracellular,MIC,31.2,,
U5,N. chichastianum,Pseudomonas syringae,Intracellular,MIC,31.2,,
U6,N. chichastianum,Pseudomonas syringae,Intracellular,MIC,31.2,,
U7,N. chichastianum,Pseudomonas syringae,Extracellular,MBC,31.2,,
U8,N. chichastianum,Pseudomonas syringae,Extracellular,MBC,31.2,,
U9,N. chichastianum,Pseudomonas syringae,Extracellular,MBC,31.2,,
U10,N. chichastianum,Pseudomonas syringae,Intracellular,MBC,62.5,,
U11,N. chichastianum,Pseudomonas syringae,Intracellular,MBC,62.5,,
U12,N. chichastianum,Pseudomonas syringae,Intracellular,MBC,62.5,,
U13,N. chichastianum,Agrobacterium tumefaciens,Extracellular,MIC,15.6,,
U14,N. chichastianum,Agrobacterium tumefaciens,Extracellular,MIC,15.6,,
U15,N. chichastianum,Agrobacterium tumefaciens,Extracellular,MIC,15.6,,
U16,N. chichastianum,Agrobacterium tumefaciens,Intracellular,MIC,125,,
U17,N. chichastianum,Agrobacterium tumefaciens,Intracellular,MIC,125,,
U18,N. chichastianum,Agrobacterium tumefaciens,Intracellular,MIC,125,,
U19,N. chichastianum,Agrobacterium tumefaciens,Extracellular,MBC,125,,
U20,N. chichastianum,Agrobacterium tumefaciens,Extracellular,MBC,125,,
U21,N. chichastianum,Agrobacterium tumefaciens,Extracellular,MBC,125,,
U22,N. chichastianum,Agrobacterium tumefaciens,Intracellular,MBC,250,,
U23,N. chichastianum,Agrobacterium tumefaciens,Intracellular,MBC,250,,
U24,N. chichastianum,Agrobacterium tumefaciens,Intracellular,MBC,250,,
U25,N. chichastianum,Xanthomonas oryzea,Extracellular,MIC,7.8,,
U26,N. chichastianum,Xanthomonas oryzea,Extracellular,MIC,7.8,,
U27,N. chichastianum,Xanthomonas oryzea,Extracellular,MIC,7.8,,
U28,N. chichastianum,Xanthomonas oryzea,Intracellular,MIC,62.5,,
U29,N. chichastianum,Xanthomonas oryzea,Intracellular,MIC,62.5,,
U30,N. chichastianum,Xanthomonas oryzea,Intracellular,MIC,62.5,,
U31,N. chichastianum,Xanthomonas oryzea,Extracellular,MBC,62.5,,
U32,N. chichastianum,Xanthomonas oryzea,Extracellular,MBC,62.5,,
U33,N. chichastianum,Xanthomonas oryzea,Extracellular,MBC,62.5,,
U34,N. chichastianum,Xanthomonas oryzea,Intracellular,MBC,125,,
U35,N. chichastianum,Xanthomonas oryzea,Intracellular,MBC,125,,
U36,N. chichastianum,Xanthomonas oryzea,Intracellular,MBC,125,,
,,,,,,,
