Drought,fungi,Salinity,Protein,POX,CAT,SOD,Proline,,,
Drought1,Periconia macrospinosa,salinity1,26.013,0.335,0.17795,0.3354,7.623,,,
Drought1,Periconia macrospinosa,salinity2,18.146,0.346,0.1834,0.3456,7.821,,,
Drought1,Periconia macrospinosa,salinity3,16.756,0.375,0.1879,0.3745,9.108,,,
Drought1,Neocamarosporium chichastianum,salinity1,25.246,0.333,0.1578,0.23025,8.514,,,
Drought1,Neocamarosporium chichastianum,salinity2,22.659,0.243,0.16125,0.2428,11.217,,,
Drought1,Neocamarosporium chichastianum,salinity3,20.255,0.203,0.1678,0.2725,12.801,,,
Drought1,Neocamarosporium goegapense,salinity1,22.257,0.343,0.16445,0.2429,8.633,,,
Drought1,Neocamarosporium goegapense,salinity2,24.000,0.345,0.1678,0.2648,11.524,,,
Drought1,Neocamarosporium goegapense,salinity3,26.000,0.401,0.169575,0.281,13.435,,,
Drought1,Control,salinity1,27.357,0.308,0.1725,0.3478,7.445,,,
Drought1,Control,salinity2,24.018,0.329,0.17725,0.3685,7.732,,,
Drought1,Control,salinity3,22.059,0.395,0.1856,0.3845,9.722,,,
Drought2,Periconia macrospinosa,salinity1,21.356,0.445,0.20729,0.4447,15.148,,,
Drought2,Periconia macrospinosa,salinity2,18.459,0.497,0.2229,0.4665,16.851,,,
Drought2,Periconia macrospinosa,salinity3,16.256,0.526,0.23745,0.4854,17.049,,,
Drought2,Neocamarosporium chichastianum,salinity1,23.986,0.367,0.1806,0.3668,12.049,,,
Drought2,Neocamarosporium chichastianum,salinity2,22.785,0.391,0.19355,0.3912,13.415,,,
Drought2,Neocamarosporium chichastianum,salinity3,21.459,0.433,0.20295,0.42425,14.118,,,
Drought2,Neocamarosporium goegapense,salinity1,21.759,0.373,0.18945,0.3525,11.316,,,
Drought2,Neocamarosporium goegapense,salinity2,19.557,0.405,0.1979,0.4054,12.702,,,
Drought2,Neocamarosporium goegapense,salinity3,18.090,0.456,0.2023,0.4362,13.108,,,
Drought2,Control,salinity1,22.688,0.413,0.2064,0.4128,14.326,,,
Drought2,Control,salinity2,20.790,0.489,0.22935,0.4287,15.029,,,
Drought2,Control,salinity3,19.569,0.534,0.23125,0.4456,16.019,,,
Drought3,Periconia macrospinosa,salinity1,16.246,0.588,0.2978,0.4884,22.732,,,
Drought3,Periconia macrospinosa,salinity2,12.569,0.655,0.31274,0.5146,25.841,,,
Drought3,Periconia macrospinosa,salinity3,14.876,0.685,0.3213725,0.5545,26.336,,,
Drought3,Neocamarosporium chichastianum,salinity1,22.988,0.424,0.2729,0.43268,17.326,,,
Drought3,Neocamarosporium chichastianum,salinity2,21.986,0.467,0.2771,0.4789,18.841,,,
Drought3,Neocamarosporium chichastianum,salinity3,18.456,0.479,0.2935,0.4948,19.158,,,
Drought3,Neocamarosporium goegapense,salinity1,20.987,0.438,0.2799,0.42125,18.752,,,
Drought3,Neocamarosporium goegapense,salinity2,18.000,0.484,0.2889,0.4889,19.346,,,
Drought3,Neocamarosporium goegapense,salinity3,16.000,0.521,0.29376,0.5279,20.692,,,
Drought3,Control,salinity1,22.698,0.471,0.29192,0.4787,20.692,,,
Drought3,Control,salinity2,21.246,0.379,0.316425,0.5156,23.405,,,
Drought3,Control,salinity3,18.561,0.346,0.318985,0.54706,25.009,,,
Drought4,Periconia macrospinosa,salinity1,18.506,0.769,0.3533,0.5694,36.732,,,
Drought4,Periconia macrospinosa,salinity2,16.650,0.778,0.3827,0.5781,37.029,,,
Drought4,Periconia macrospinosa,salinity3,15.989,0.808,0.3887,0.6075,38.019,,,
Drought4,Neocamarosporium chichastianum,salinity1,24.746,0.602,0.31135,0.5021,29.108,,,
Drought4,Neocamarosporium chichastianum,salinity2,22.533,0.671,0.33065,0.5442,32.326,,,
Drought4,Neocamarosporium chichastianum,salinity3,21.125,0.684,0.3369,0.5712,34.128,,,
Drought4,Neocamarosporium goegapense,salinity1,22.351,0.605,0.31305,0.5124,30.158,,,
Drought4,Neocamarosporium goegapense,salinity2,21.391,0.642,0.3391,0.53048,31.148,,,
Drought4,Neocamarosporium goegapense,salinity3,21.173,0.681,0.34075,0.582408,33.643,,,
Drought4,Control,salinity1,17.228,0.719,0.3627,0.5892,35.247,,,
Drought4,Control,salinity2,16.907,0.742,0.35645,0.6245,37.564,,,
Drought4,Control,salinity3,12.379,0.782,0.3772,0.6458,38.94,,,
