Drought,fungi,Salinity,Protein,POX,CAT,SOD,Proline,,,,,,,,,,
Drought1,Periconia macrospinosa,salinity1,18.61,0.033655778,0.10548,0.55288,8.6461,,,,,,,,,,
Drought1,Periconia macrospinosa,salinity2,15.28,0.174420507,0.12358,0.6412796,9.762,,,,,,,,,,
Drought1,Periconia macrospinosa,salinity3,13.07,0.165302408,0.15657,0.7293,11.752,,,,,,,,,,
Drought1,Neocamarosporium chichastianum,salinity1,28.87,0.047073666,0.08115,0.54868,7.44,,,,,,,,,,
Drought1,Neocamarosporium chichastianum,salinity2,27.43,0.137421195,0.1054148,0.3217,8.644,,,,,,,,,,
Drought1,Neocamarosporium chichastianum,salinity3,22.50,0.144865169,0.11256,0.49868,9.774,,,,,,,,,,
Drought1,Neocamarosporium goegapense,salinity1,25.51,0.041744797,0.09548,0.55084,8.645,,,,,,,,,,
Drought1,Neocamarosporium goegapense,salinity2,18.23,0.150986237,0.11548,0.45536,9.465,,,,,,,,,,
Drought1,Neocamarosporium goegapense,salinity3,17.94,0.16539627,0.13659,0.6372,9.774,,,,,,,,,,
Drought1,Control,salinity1,18.94,0.075697247,0.1021459,0.527,9.456,,,,,,,,,,
Drought1,Control,salinity2,14.39,0.156358731,0.13256,0.5948,9.885,,,,,,,,,,
Drought1,Control,salinity3,12.79,0.163697905,0.13221568,0.6675,10.7623,,,,,,,,,,
Drought2,Periconia macrospinosa,salinity1,10.89,0.192607856,0.1254,1.0264,10.35,,,,,,,,,,
Drought2,Periconia macrospinosa,salinity2,9.37,0.2005689,0.13658,1.16864,12.74,,,,,,,,,,
Drought2,Periconia macrospinosa,salinity3,8.07,0.228807004,0.16545,1.35948,14.768,,,,,,,,,,
Drought2,Neocamarosporium chichastianum,salinity1,15.70,0.134899784,0.1089,0.78712,8.761,,,,,,,,,,
Drought2,Neocamarosporium chichastianum,salinity2,13.16,0.151627309,0.12154,0.864,9.768,,,,,,,,,,
Drought2,Neocamarosporium chichastianum,salinity3,12.10,0.17802552,0.1326447,0.9608,10.623,,,,,,,,,,
Drought2,Neocamarosporium goegapense,salinity1,13.98,0.170610522,0.11854,0.909,9.704,,,,,,,,,,
Drought2,Neocamarosporium goegapense,salinity2,11.58,0.182125587,0.12548,0.959534,10.762,,,,,,,,,,
Drought2,Neocamarosporium goegapense,salinity3,10.71,0.203192916,0.132557,1.0324,12.774,,,,,,,,,,
Drought2,Control,salinity1,11.96,0.185509993,0.12157,1.052508,9.4641,,,,,,,,,,
Drought2,Control,salinity2,10.77,0.186919604,0.12678,1.1615,10.75441,,,,,,,,,,
Drought2,Control,salinity3,7.50,0.226837442,0.14235,1.2106,11.5732,,,,,,,,,,
Drought3,Periconia macrospinosa,salinity1,9.92,0.209055447,0.2015,1.1504,11.374,,,,,,,,,,
Drought3,Periconia macrospinosa,salinity2,7.59,0.263966341,0.210325,1.38734,13.6254,,,,,,,,,,
Drought3,Periconia macrospinosa,salinity3,7.64,0.285246837,0.2354,1.3954,14.9774,,,,,,,,,,
Drought3,Neocamarosporium chichastianum,salinity1,14.18,0.16793326,0.132145,0.8748,9.7542,,,,,,,,,,
Drought3,Neocamarosporium chichastianum,salinity2,12.75,0.1848,0.1557,0.9154,11.645,,,,,,,,,,
Drought3,Neocamarosporium chichastianum,salinity3,10.49,0.19489,0.16231,1.1948,12.774,,,,,,,,,,
Drought3,Neocamarosporium goegapense,salinity1,11.49,0.17125,0.16055,1.0287,13.645,,,,,,,,,,
Drought3,Neocamarosporium goegapense,salinity2,9.96,0.1987,0.161258,1.1942,15.64374,,,,,,,,,,
Drought3,Neocamarosporium goegapense,salinity3,8.74,0.21598,0.18145,1.29534,16.444,,,,,,,,,,
Drought3,Control,salinity1,12.77,0.18583,0.21263,1.08088,10.774,,,,,,,,,,
Drought3,Control,salinity2,10.24,0.20145,0.222548,1.26742,11.444,,,,,,,,,,
Drought3,Control,salinity3,8.72,0.21453,0.232154,1.281,11.774,,,,,,,,,,
Drought4,Periconia macrospinosa,salinity1,8.86,0.319055447,0.32654,1.859522,14.235,,,,,,,,,,
Drought4,Periconia macrospinosa,salinity2,6.70,0.323966341,0.3342,1.9542,14.752,,,,,,,,,,
Drought4,Periconia macrospinosa,salinity3,5.87,0.345246837,0.33551,2.12888,16.8975,,,,,,,,,,
Drought4,Neocamarosporium chichastianum,salinity1,11.92,0.28793326,0.21145,1.4522,11.75474,,,,,,,,,,
Drought4,Neocamarosporium chichastianum,salinity2,9.70,0.3048,0.2154,1.50924,13.6536,,,,,,,,,,
Drought4,Neocamarosporium chichastianum,salinity3,8.90,0.31489,0.23246,1.623,13.75444,,,,,,,,,,
Drought4,Neocamarosporium goegapense,salinity1,11.93,0.30125,0.2415,1.615,12.774,,,,,,,,,,
Drought4,Neocamarosporium goegapense,salinity2,9.18,0.3187,0.2551,1.7506,13.7632,,,,,,,,,,
Drought4,Neocamarosporium goegapense,salinity3,8.80,0.32598,0.26521,1.75288,14.0441,,,,,,,,,,
Drought4,Control,salinity1,7.24,0.33583,0.316652,1.9614,13.743,,,,,,,,,,
Drought4,Control,salinity2,4.82,0.35145,0.325546,1.9884,14.6045,,,,,,,,,,
Drought4,Control,salinity3,4.72,0.37453,0.321553,2.0075,14.6075,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
