sampleID,Host,Fungi,Drought,Salinity,Lshoot,Wshoot,DWshoot,Lroot,Wroot,DWroot,Photosyntesis
NC-D1-S1-1,Hordeum vulgare,N. chichastianum,Drought1,salinity1,96,18.46,4.36,51,7.45,1.4,42.6
NC-D1-S2-2,Hordeum vulgare,N. chichastianum,Drought1,salinity2,94,18.04,4.26,50,7.34,1.38,40.1
NC-D1-S3-3,Hordeum vulgare,N. chichastianum,Drought1,salinity3,80,15.2,3.59,50,6.91,1.31,36.12
NC-D2-S1-4,Hordeum vulgare,N. chichastianum,Drought2,salinity1,92,17.69,4.16,48,7.2,1.33,39.5
NC-D2-S2-5,Hordeum vulgare,N. chichastianum,Drought2,salinity2,88,16.92,3.98,48,7.05,1.3,37
NC-D2-S3-6,Hordeum vulgare,N. chichastianum,Drought2,salinity3,73,13.87,3.26,45,6.6,1.23,33.2
NC-D3-S1-7,Hordeum vulgare,N. chichastianum,Drought3,salinity1,82,15.73,3.67,48,6.79,1.25,33.1
NC-D3-S2-8,Hordeum vulgare,N. chichastianum,Drought3,salinity2,72,13.83,3.23,46,6.6,1.22,31.2
NC-D3-S3-9,Hordeum vulgare,N. chichastianum,Drought3,salinity3,52,9.88,2.3,44,6.08,1.1,27.1
NC-D4-S1-10,Hordeum vulgare,N. chichastianum,Drought4,salinity1,58,11.15,2.59,45,5.62,1.04,23.1
NC-D4-S2-11,Hordeum vulgare,N. chichastianum,Drought4,salinity2,47,9,2.09,45,5.31,0.98,20.9
NC-D4-S3-12,Hordeum vulgare,N. chichastianum,Drought4,salinity3,27,5.18,1.2,42,4.6,0.84,16.5
NC-D1-S1-13,Hordeum vulgare,N. chichastianum,Drought1,salinity1,85,16.31,3.85,50,7.12,1.34,43.9
NC-D1-S2-14,Hordeum vulgare,N. chichastianum,Drought1,salinity2,83,15.9,3.77,52,6.98,1.31,41.6
NC-D1-S3-15,Hordeum vulgare,N. chichastianum,Drought1,salinity3,69,13.16,3.11,48,6.53,1.23,37.1
NC-D2-S1-16,Hordeum vulgare,N. chichastianum,Drought2,salinity1,82,15.79,3.71,50,6.88,1.29,41.2
NC-D2-S2-17,Hordeum vulgare,N. chichastianum,Drought2,salinity2,77,14.77,3.47,50,6.71,1.25,38.7
NC-D2-S3-18,Hordeum vulgare,N. chichastianum,Drought2,salinity3,65,12.4,2.95,48,6.15,1.16,34.2
NC-D3-S1-19,Hordeum vulgare,N. chichastianum,Drought3,salinity1,74,14.25,3.33,48,6.29,1.16,35.9
NC-D3-S2-20,Hordeum vulgare,N. chichastianum,Drought3,salinity2,64,12.3,2.88,47,6.06,1.13,33.4
NC-D3-S3-21,Hordeum vulgare,N. chichastianum,Drought3,salinity3,51,9.72,2.79,46,5.52,1.02,29
NC-D4-S1-22,Hordeum vulgare,N. chichastianum,Drought4,salinity1,51,9.8,2.28,45,5.1,0.94,24.9
NC-D4-S2-23,Hordeum vulgare,N. chichastianum,Drought4,salinity2,38,7.3,1.69,45,4.79,0.88,22.7
NC-D4-S3-24,Hordeum vulgare,N. chichastianum,Drought4,salinity3,21,4.01,0.96,42,4.23,0.8,18.3
NC-D1-S1-25,Hordeum vulgare,N. chichastianum,Drought1,salinity1,91,17.5,4.13,55,6.91,1.11,40.2
NC-D1-S2-26,Hordeum vulgare,N. chichastianum,Drought1,salinity2,88,16.9,3.99,54,6.8,0.83,38
NC-D1-S3-27,Hordeum vulgare,N. chichastianum,Drought1,salinity3,74,14.14,3.34,51,6.41,0.81,34.1
NC-D2-S1-28,Hordeum vulgare,N. chichastianum,Drought2,salinity1,86,16.5,3.88,50,6.68,0.82,38.1
NC-D2-S2-29,Hordeum vulgare,N. chichastianum,Drought2,salinity2,80,15.32,3.6,49,6.51,0.65,35.9
NC-D2-S3-30,Hordeum vulgare,N. chichastianum,Drought2,salinity3,67,12.78,3,43,6.03,0.49,31.1
NC-D3-S1-31,Hordeum vulgare,N. chichastianum,Drought3,salinity1,75,14.39,3.36,47,6.01,0.58,31.7
NC-D3-S2-32,Hordeum vulgare,N. chichastianum,Drought3,salinity2,65,12.45,3.79,46,5.8,0.47,28.8
NC-D3-S3-33,Hordeum vulgare,N. chichastianum,Drought3,salinity3,50,9.52,2.24,46,5.24,0.44,24.3
NC-D4-S1-34,Hordeum vulgare,N. chichastianum,Drought4,salinity1,53,10.19,2.38,42,4.98,0.37,22.3
NC-D4-S2-35,Hordeum vulgare,N. chichastianum,Drought4,salinity2,40,7.66,1.8,42,4.63,0.39,20.1
NC-D4-S3-36,Hordeum vulgare,N. chichastianum,Drought4,salinity3,22,4.21,0.97,41,4.11,0.36,16.3
CO-D1-S1-37,Hordeum vulgare,Control,Drought1,salinity1,82,14.88,3.3,48,6.12,1,37.3
CO-D1-S2-38,Hordeum vulgare,Control,Drought1,salinity2,68,11.88,2.64,47,5.69,0.93,33.2
CO-D1-S3-39,Hordeum vulgare,Control,Drought1,salinity3,37,6.44,1.43,45,4.82,0.8,25.9
CO-D2-S1-40,Hordeum vulgare,Control,Drought2,salinity1,70,12.25,2.73,47,5.64,0.92,31.1
CO-D2-S2-41,Hordeum vulgare,Control,Drought2,salinity2,55,9.65,2.13,46,5.18,0.85,27.2
CO-D2-S3-42,Hordeum vulgare,Control,Drought2,salinity3,26,4.55,1.1,46,4.35,0.71,20.3
CO-D3-S1-43,Hordeum vulgare,Control,Drought3,salinity1,50,8.77,1.93,44,4.5,0.72,21.2
CO-D3-S2-44,Hordeum vulgare,Control,Drought3,salinity2,35,4.9,1.07,42,4.02,0.65,16.9
CO-D3-S3-45,Hordeum vulgare,Control,Drought3,salinity3,12,2.15,0.5,42,3.14,0.5,8.9
CO-D4-S1-46,Hordeum vulgare,Control,Drought4,salinity1,17,2.97,0.7,42,2.61,0.42,6.8
CO-D4-S2-47,Hordeum vulgare,Control,Drought4,salinity2,10,1.8,0.4,42,2.05,0.33,2.5
CO-D4-S3-48,Hordeum vulgare,Control,Drought4,salinity3,4,0.9,0.2,39,1.21,0.21,0.9
CO-D1-S1-49,Hordeum vulgare,Control,Drought1,salinity1,77,13.48,3,48,6.23,1,39.1
CO-D1-S2-50,Hordeum vulgare,Control,Drought1,salinity2,63,10.99,2.46,46,5.81,0.94,35.9
CO-D1-S3-51,Hordeum vulgare,Control,Drought1,salinity3,34,5.92,1.31,46,4.92,0.8,28.2
CO-D2-S1-52,Hordeum vulgare,Control,Drought2,salinity1,64,11.22,2.49,47,5.74,0.92,33.1
CO-D2-S2-53,Hordeum vulgare,Control,Drought2,salinity2,50,8.74,1.98,46,5.29,0.84,29.2
CO-D2-S3-54,Hordeum vulgare,Control,Drought2,salinity3,21,3.7,0.8,44,4.51,0.73,21.7
CO-D3-S1-55,Hordeum vulgare,Control,Drought3,salinity1,43,7.56,1.68,43,4.7,0.75,23.1
CO-D3-S2-56,Hordeum vulgare,Control,Drought3,salinity2,30,5.26,1.19,42,4.21,0.68,18.9
CO-D3-S3-57,Hordeum vulgare,Control,Drought3,salinity3,9,1.6,0.43,41,2.32,0.39,11.1
CO-D4-S1-58,Hordeum vulgare,Control,Drought4,salinity1,13,2.29,0.55,42,2.53,0.4,5.1
CO-D4-S2-59,Hordeum vulgare,Control,Drought4,salinity2,8,1.42,0.33,39,2.03,0.32,1.12
CO-D4-S3-60,Hordeum vulgare,Control,Drought4,salinity3,5,0.9,0.22,38,1.12,0.18,0.5
CO-D1-S1-61,Hordeum vulgare,Control,Drought1,salinity1,83,14.56,3.24,49,5.97,0.97,38.5
CO-D1-S2-62,Hordeum vulgare,Control,Drought1,salinity2,66,11.52,2.55,47,5.56,0.91,34.5
CO-D1-S3-63,Hordeum vulgare,Control,Drought1,salinity3,34,5.94,1.39,47,4.63,0.76,26.3
CO-D2-S1-64,Hordeum vulgare,Control,Drought2,salinity1,69,12.13,2.71,46,5.51,0.9,32.5
CO-D2-S2-65,Hordeum vulgare,Control,Drought2,salinity2,55,9.61,2.13,45,5.08,0.83,27.1
CO-D2-S3-66,Hordeum vulgare,Control,Drought2,salinity3,30,5.24,1.15,42,4.21,0.68,19.2
CO-D3-S1-67,Hordeum vulgare,Control,Drought3,salinity1,47,8.24,1.81,41,4.43,0.72,22.1
CO-D3-S2-68,Hordeum vulgare,Control,Drought3,salinity2,32,5.61,1.23,41,3.95,0.63,17.68
CO-D3-S3-69,Hordeum vulgare,Control,Drought3,salinity3,14,2.47,0.54,41,3.1,0.5,9.8
CO-D4-S1-70,Hordeum vulgare,Control,Drought4,salinity1,16,2.84,0.69,42,2.56,0.41,5.3
CO-D4-S2-71,Hordeum vulgare,Control,Drought4,salinity2,9,1.59,0.37,39,2,0.31,1.3
CO-D4-S3-72,Hordeum vulgare,Control,Drought4,salinity3,5,0.87,0.22,36,1.11,0.18,0.6
