"","TISSUE","SOIL","value","OTU"
"1","Branch","Dry soil",0,"TPEsh28.Humicola.fuscoatra"
"2","Leaf","Dry soil",0,"TPEsh28.Humicola.fuscoatra"
"3","Root","Dry soil",214,"TPEsh28.Humicola.fuscoatra"
"4","Branch","Saline soil",155,"TPEsh28.Humicola.fuscoatra"
"5","Leaf","Saline soil",166,"TPEsh28.Humicola.fuscoatra"
"6","Root","Saline soil",0,"TPEsh28.Humicola.fuscoatra"
"7","Branch","Dry soil",86,"LAE.se5.Sordaria.humana"
"8","Leaf","Dry soil",0,"LAE.se5.Sordaria.humana"
"9","Root","Dry soil",0,"LAE.se5.Sordaria.humana"
"10","Branch","Saline soil",141,"LAE.se5.Sordaria.humana"
"11","Leaf","Saline soil",45,"LAE.se5.Sordaria.humana"
"12","Root","Saline soil",0,"LAE.se5.Sordaria.humana"
