tiplab,Leaf,Branch,Root,Saline ,Dry ,A.persarum,H.ammodendron,L.acanthodes,P.stephaniana,S.incanescens,A.sieberi,S.rosmarinus,T.hispida
A1_APEse5_Staphylotrichum_sp,107,114,0,0,221,221,0,0,0,0,0,0,0
A2_TPEsh8_Humicola_fuscoatra,166,155,214,321,214,0,196,0,0,0,0,226,113
A3_PFE_SH7_Rosellinia_sp,0,0,866,866,0,0,311,0,0,201,0,354,0
A4_LRE_wh64_Neocamarosporium_chichastianum ,0,0,877,877,0,0,219,0,213,0,220,225,0
A5_SRE_wh22_Preussia_sp,2,0,20,22,0,0,0,0,0,0,0,22,0
A6_THEwe10_Aporospora_sp,0,172,0,0,172,0,0,0,0,0,0,0,172
A7_THE_ss3_Fusarium_sp,0,0,166,166,0,0,0,0,0,0,0,0,166
A8_SIE_sh1_Briansuttonomyces_eucalypti,56,63,145,141,123,0,0,0,0,264,0,0,0
A9_RAE_sh12_Acrocalymma_vagum ,0,0,352,217,135,0,0,0,0,0,352,0,0
A10_PSE_wh14_Preussia_sp  ,152,48,2,202,0,0,0,0,202,0,0,0,0
A11_PSE_wh40_Dimorphosporicola_sp,183,120,0,303,0,0,0,0,0,303,0,0,0
A12_PSE_wh66_Comoclathris_italica,53,0,0,53,0,0,0,0,53,0,0,0,0
A13_PSE_we4_Chaetomium_sp,100,148,4,0,252,0,0,0,252,0,0,0,0
A14_PSE_se8_Podospora_minicauda ,51,39,45,0,135,0,0,0,135,0,0,0,0
A15_PSE_se8_Alternaria_sp,0,0,115,0,115,0,0,0,115,0,0,0,0
A16_LDE_se7_Coniothyrium_aleuritis,108,0,0,0,108,0,0,108,0,0,0,0,0
A17_LAE_se5_Asordaria_humana,45,227,,186,86,0,0,272,0,0,0,0,0
A18_HAE_se5_Chaetosphaeronema_sp ,500,0,0,301,199,0,500,0,0,0,0,0,0
A19_HAE_we5_Coniolariella_sp,197,72,0,0,269,0,269,0,0,0,0,0,0
A20_HAE_wh26_Preussia_sp,252,142,0,394,0,0,394,0,0,0,0,0,0
A21_HAE_wh10_Raffaelea_montetyi,136,153,300,589,0,0,589,0,0,0,0,0,0
A22_HAE_wh65_Coniophora_sp  ,0,301,0,301,0,0,301,0,0,0,0,0,0
A23_HAE_se9_Chaetomium_sp ,59,163,0,0,222,0,222,0,0,0,0,0,0
A24_HAE_se1_Acrocalymma_sp,0,0,220,0,220,0,220,0,0,0,0,0,0
A25_SRE_wh19_Neocamarosporium_goegapense,34,11,66,111,0,0,0,0,0,0,0,111,0
A26_APE_sh6_Dictyosporium_digitatum,0,103,0,103,0,103,0,0,0,0,0,0,0
A27_APEsh8_Pestalotiopsis_vismiae ,88,1,0,89,0,89,0,0,0,0,0,0,0
A28_APE_se3_Dactylonectria_macrodidyma,0,0,82,0,82,82,0,0,0,0,0,0,0
A29_APE_sh5_Nigrospora_oryzae,72,0,0,72,0,72,0,0,0,0,0,0,0
A30_SRE_wh18_Preussia_sp,42,0,0,42,0,0,0,0,0,0,0,42,0
A31_LAE_sh5_Coniolariella_sp,54,38,1,93,0,0,0,0,0,0,0,93,0
A32_LAE_se3_Neosetophoma_sp,93,32,0,0,125,0,0,125,0,0,0,0,0
A33_LAE_se3_Murisphaeosphaeria_ambrosiae,84,0,0,84,0,0,0,84,0,0,0,0,0
A34_LAE_sh1_Acrocalymma_sp,0,0,76,76,0,76,0,0,0,0,0,0,0
A35_SRE_wh30_Preussia_sp,56,32,130,218,0,0,0,171,0,0,0,47,0
A36_SRE_ss4_Neocamarosporium_sp,24,30,51,105,0,0,0,0,0,0,0,105,0
A37_SRE_ws8_Botryotrichum_sp,0,48,0,0,48,0,0,0,0,0,0,48,0
A38_SRE_ws10_Sarocladium_kiliense,0,0,30,0,30,0,0,0,0,0,0,30,0
A39_SRE_wh16_Paracamarosporium_sp,0,0,434,254,180,0,0,0,0,0,0,434,0
A40_SRE_wh13_ Ovatospora_senegalensis,250,0,0,151,99,0,0,0,0,0,0,250,0
A41_SRE_we6_Fusariella_sp,178,167,3,164,184,0,0,0,0,0,0,348,0
A42_SRE_we10_pichia_kudriavzevii,31,18,39,0,88,0,0,0,0,0,0,88,0
A43?SRE_sh9_Preussia_sp,30,25,1,56,0,0,0,0,0,0,0,56,0
A44_SRE_sh4_Penicillium_sp,0,51,0,51,0,0,0,0,0,0,0,51,0
A45_SRE_sh3_Trichoderma_rifaii,24,38,0,62,0,0,0,0,0,0,0,62,0
A46_SRE_sh7_Chaetomium_sp,0,22,0,22,0,0,0,0,0,0,0,22,0
A47_SRE_sh5_Fusarium_redolens,0,0,103,103,0,0,0,0,0,0,0,103,0
